Region,Consumption (ekWh),Floor area (ft2),EUI (kW/ft2),Emission (tCO2e),Emissions per Floor Area (KgCO2e/sq. ft),Reporting Year
Interior,170683.21,20016,8.527338629,1.821189851,0.090986703,2019
Interior,166120.84,20016,8.299402478,1.772509363,0.088554624,2020
Interior,150876.01,20016,7.537770284,1.463497056,0.073116360,2021
Interior,150739.3,15215.977955502,9.906645530,1.733260767,0.113910573,2022
Fraser,155023.59,34944,4.436343578,1.654101705,0.047335786,2018
Fraser,147565.49,34944,4.222913519,1.574523778,0.045058487,2019
Fraser,149024.34,34944,4.264661745,1.590089708,0.045503941,2020
Fraser,156111.62,34943.958776806,4.467485238,1.514282464,0.043334600,2021
Fraser,159791.12,34943.973822159,4.572780440,1.837342214,0.052579659,2022
Northern,172663.46,49186,3.510418818,1.842319118,0.037456169,2018
Northern,157230.32,49186,3.196647827,1.677647514,0.034108232,2019
Northern,134438.39,49186,2.733265360,1.434457621,0.029163941,2020
Northern,120593.73,49185.903927363,2.451794526,1.169758988,0.023782403,2021
Northern,104462,49185.925104679,2.123818954,1.201145861,0.024420520,2022
Vancouver Coastal,258460.52,51840,4.985735340,2.757773748,0.053197796,2018
Vancouver Coastal,271146.45,51840,5.230448495,2.893132621,0.055808885,2019
Vancouver Coastal,253231.47,51840,4.884866319,2.701979785,0.052121524,2020
Vancouver Coastal,250189.47,51839.961318812,4.826189365,2.426837459,0.046814029,2021
Vancouver Coastal,250509.43,51839.983638849,4.832359357,2.880457630,0.055564401,2022
Interior,89757.51,17640,5.088294218,0.957712632,0.054292099,2018
Interior,89236.94,17640,5.058783447,0.952158150,0.053977219,2019
Interior,82007.18,17640,4.648933107,0.875016611,0.049604116,2020
